,Location 1,longitude,latitude,type
0,"400 Cathedral St Baltimore, MD ",-76.6173557536,39.29452365,library
1,"300 Patapsco Av Baltimore, MD ",-76.4939679751,39.3096206,library
2,"1030 Ellwood St Baltimore, MD ",0.0,0.0,library
3,"606 Cherry Hill Baltimore, MD ",-76.6270196,39.2490751,library
4,"2001 Wolfe St Baltimore, MD ",0.0,0.0,library
5,"4330 Edmondson Av Baltimore, MD ",-76.6891756748,39.29388625,library
6,"3023 Garrison Baltimore, MD ",-76.7605298,39.4059391,library
7,"5714 Bellona Av Baltimore, MD ",-76.6112194575,39.3595391,library
8,"5910 Harford Rd Baltimore, MD ",-76.5582646105,39.356487,library
9,"3641 Falls Rd Baltimore, MD ",-76.6350322,39.3323056,library
10,"3801 Erdman Av Baltimore, MD ",-76.5690823127,39.3152909,library
11,"1251 Light St Baltimore, MD ",-76.6117907245,39.2749336,library
12,"4420 Loch Baltimore, MD ",-76.5909725,39.3512047,library
13,"158 Linwood Baltimore, MD ",-76.5743554,39.2929679,library
14,"1531 North Av Baltimore, MD ",0.0,0.0,library
15,"6310 Reisterstown Baltimore, MD ",-76.8294212,39.4695489,library
16,"5108 Roland Av Baltimore, MD ",-76.6350852799,39.35598425,library
17,"3203 North Av Baltimore, MD ",-76.4596949,39.310429,library
18,"856 Washington Baltimore, MD ",-76.634462,39.2683132,library
19,"400 33rd St Baltimore, MD ",-76.5229999,39.326323,library
20,"3601 Eastern Ave Baltimore, MD ",-76.5667565203,39.2862365,library
21,"1303 Oreleans St Baltimore, MD ",0.0,0.0,library
