,ADDRESS,longitude,latitude,type
0,30 S. Gilmor Street,-76.6424608,39.2877197333,school
1,5011 Arbutus Avenue,-75.1434505,40.1840968,school
2,2000 Cecil Avenue,-76.6057006,39.3132958,school
3,100 S. Caroline Street,-1.2414126,51.7507347,school
4,31 S. Schroeder Street,-76.6335768,39.2881301,school
5,1624 Eutaw Place,-76.6304020084,39.3062789,school
6,2921 Stranden Road,-76.6451851931,39.2541739075,school
7,600 N. Patterson Park Avenue,-76.5854978052,39.29799905,school
8,1300 Gorsuch Avenue,-76.600184,39.324806,school
9,1101 Valley Street,-70.2771683,43.6448528,school
10,3301 Carlisle Avenue,-0.2549419,51.5170483,school
11,800 Scott Street,-88.591329,47.12995,school
12,245 S. Wolfe Street,-76.5901982245,39.2886640204,school
13,2235 N. Fulton Avenue,-76.6466757,39.3130092,school
14,1000 N. Montford Avenue,-76.584018,39.30243,school
15,100 N. Chester Street,-1.2398722,51.7420812,school
16,701 Gold Street,-76.640366,39.306695,school
17,1600 N. Payson Street,-76.649852,39.306676,school
18,1400 Exeter Hall Avenue,-76.602467,39.3217737,school
19,1327 Washington Boulevard,-76.6357055714,39.2802832857,school
20,1401 W. Lafayette Avenue,-76.640303,39.298918,school
21,1919 N. Broadway,-82.961309,40.0292886,school
22,201 E. 21St. Street,-83.550702,41.657264,school
23,3910 Barrington Road,-95.4738509,29.729723,school
24,2040 E. 32nd St,-76.5850411125,39.3280556,school
25,1040 William Street,144.9564449,-37.8115931,school
26,500 S. Linwood Avenue,-76.5762894308,39.28579425,school
27,5001 Moravia Road,-76.5504282051,39.3247338354,school
28,1300 Gorsuch Avenue,-76.600184,39.324806,school
29,3400 Ellerslie Avenue,-76.6052277919,39.3302292,school
30,100 E. 26Th Street,-76.615374,39.31951,school
31,2900 Barclay Street,-76.611449037,39.32394695,school
32,3608 Chestnut Avenue,-122.00975525,37.9716179352,school
33,3935 Hilton Rd,0.8551603,51.1504169,school
34,2700 Gwynns Falls Parkway,-76.662981775,39.31527415,school
35,2011 Linden Avenue,-89.0449209184,42.6914337755,school
36,2835 Virginia Avenue,-104.806559733,38.8711538276,school
37,2777 Prestman Street,0.0,0.0,school
38,3901 Maine Avenue,-70.2790629,43.698489,school
39,121 McMechen Street,-76.6242240341,39.30898205,school
40,1900 Edgewood Street,-76.676667789,39.3090187,school
41,3434 Old Frederick Road,-76.6745821397,39.28269445,school
42,1100 Whitmore Avenue,-76.6583588,39.3006274,school
43,1425 E. Fort Avenue,-76.5947206,39.2691424,school
44,181 North Bend Road,-76.7055283061,39.2823428246,school
45,200 N. Lakewood Ave.,-76.5796655406,39.2951782,school
46,100 E. Heath Street,-76.611058927,39.27099955,school
47,2701 E. Oliver Street,-0.4000218,54.2755009,school
48,2625 Federal Street,-80.0040435,40.4475426,school
49,4001 Alto Road,-76.6831243,39.3165217,school
50,621 Wildwood Parkway,-76.6829248251,39.2950659,school
51,4300 Sidehill Road,-76.692695,39.297934,school
52,1400 W. Lexington Street,-76.639865,39.290905,school
53,1409 N. Collington Ave.,-76.5868879964,39.3074378,school
54,424 S. Pulaski Street,-76.6503423,39.2818072,school
55,6201 Frankford Avenue,-75.062029,40.027413,school
56,1311 N. Gilmor Street,-76.6421225074,39.30403405,school
57,507 W. Preston Street,-76.6258884408,39.2986817,school
58,4301 Tenth Street,-1.3170953,54.7634809,school
59,1200 N. Pennsylvania Ave.,-75.8763816,41.2452584,school
60,1301 Mcculloh Street,-76.62781,39.302728,school
61,820 E. 43Rd Street,-76.604134,39.3431625,school
62,2400 Windsor Avenue,-82.9676099,39.996476,school
63,2400 W. Mosher Street,-79.2044149,42.119053,school
64,800 Poplar Grove Street,-76.6652927,39.2974633,school
65,220 N. Bentalou Street,-76.6537599706,39.29168805,school
66,801 Bridgeview Road,-79.4932061,43.6537482,school
67,2501 Seabury Road,-76.6224374217,39.25209605,school
68,844 Roundview Road,-76.6237636944,39.2460886151,school
69,2400 Round Road,-76.6277844905,39.25177705,school
70,4411 Garrison Boulevard,-76.6768858,39.3172304,school
71,1001 W. Saratoga Street,-76.6161166,39.2927852,school
72,2700 Seamon Avenue,-76.6211652498,39.25287305,school
73,5025 Dickey Hill Road,-76.7033618918,39.31128095,school
74,300 Pontiac Avenue,-80.041952,40.568503,school
75,3510 W. Mulberry Street,-76.6767494381,39.29221495,school
76,7300 Moyer Avenue,-76.5407984,39.3667738,school
77,4633 Furley Avenue,-76.5525738452,39.3287372,school
78,4301 West Bay Avenue,-82.5165030966,27.879324489,school
79,4517 Hazelwood Avenue,-0.1910234,51.3983256,school
80,5300 Belair Road,-76.5788709,39.317108,school
81,2800 Ailsa Avenue,-76.5691326197,39.3491922,school
82,5801 York Road,114.177307,22.3345673,school
83,4520 York Road,114.177307,22.3345673,school
84,3223 E. Pratt Street,-76.5715022449,39.2900309184,school
85,1406 N. Ellamont Street,-76.6707521071,39.303874625,school
86,5931 Yorkwood Road,-76.5839239428,39.3627196667,school
87,2601 Tolley Street,-76.6508561133,39.2629187,school
88,1801 Sulgrave Avenue,-76.654827351,39.3658367,school
89,4849 Pimlico Road,-76.6675788247,39.3477994,school
90,5545 Kennison Avenue,-76.6994410685,39.3418793,school
91,2401 Nevada Street,-76.6376422455,39.26211785,school
92,1207 Pine Heights Avenue,-76.6736667275,39.2680794,school
93,701 S. Rappolla Street,-76.5523611746,39.28418605,school
94,1500 Imla Street,-76.5385749,39.2759408,school
95,3536 Brehms Lane,-76.5662940712,39.3213936,school
96,605 Dryden Drive,-76.697206872,39.29536485,school
97,5207 Roland Avenue,-96.8150027,32.83501575,school
98,3705 W. Rogers Avenue,-76.6843423945,39.35032215,school
99,6211 Walther Avenue,-76.5435108226,39.3511511133,school
100,6101 Old Harford Road,-76.5574476714,39.3598284,school
101,231 S. Eaton Street,-76.5651889523,39.2894121,school
102,1201 Cambria Street,-73.5878496786,40.7155546429,school
103,6300 O'Donnell Street,-76.5658785,39.2805982,school
104,3801 Fallstaff Road,-76.7050493,39.3627467,school
105,5201 Loch Raven Boulevard,-76.5878213059,39.35252795,school
106,5001 E. Eager Street,-76.5527541672,39.30473315,school
107,1235 Sherwood Avenue,-77.4534679394,37.5700611717,school
108,301 S. Beechfield Avenue,-76.6937212822,39.2803834,school
109,6100 Cross Country Boulevard,-76.6879278182,39.3624807,school
110,3880 Sinclair Lane,-76.5607986,39.3151072,school
111,4300 Buchanan Avenue,-73.9008477,42.7794265,school
112,1400 N. Caroline Street,-76.5988864846,39.3064971,school
113,3701 Fernhill Avenue,-76.678400809,39.33629695,school
114,3750 Greenspring Avenue,-76.6580148,39.340219,school
115,3501 Hillsdale Road,-71.6391069,41.525658,school
116,2501 Frederick Avenue,-76.6567690774,39.2823679,school
117,301 N. Pulaski Street,-76.649798944,39.2925185,school
118,851 Braddish Avenue,-76.6594480651,39.2974230634,school
119,2050 N. Wolfe st,-76.5919271633,39.3136893673,school
120,2001 N. Warwick Avenue,-76.6566445626,39.31087545,school
121,5301 Erdman Avenue,-76.5612629,39.308318,school
122,1600 Arlington Avenue,-82.9679452051,40.0180001538,school
123,150 W. West Street,-76.6188707674,39.27650215,school
124,1398 Mount Royal Ave,-79.4329864,43.6757469,school
125,1530 Presstman Street,-76.6429551124,39.3056689,school
126,802 South Caroline Street,-76.5960014,39.2802409,school
127,4701 Greenspring Avenue,-76.6580251,39.3453844,school
128,2801 N. Dukeland St.,-76.66519035,39.3217195881,school
129,4301 Raspe Avenue,-76.534611992,39.34901075,school
130,27 North Lakewood Avenue,-76.5789839796,39.2924846531,school
131,1300 Herkimer Street,-76.6384685,39.2818049,school
132,200 N. Central Avenue,151.0817391,-33.729308,school
133,4417 Loch Raven Boulevard,-76.5944899,39.335819,school
134,4701 Greenspring Avenue,-76.6580251,39.3453844,school
135,2800 Brendan Ave,-76.571982,39.32387,school
136,1250 W. 36th Street,-76.636472731,39.33097145,school
137,1130 N. Caroline Street,-76.5981849,39.3038115,school
138,3515 Taylor Ave,-82.960987,39.9762539,school
139,1600 Guilford Ave,-76.612536938,39.30871385,school
140,2800 Brendan Ave,-76.571982,39.32387,school
141,801 S Highland Ave,-76.5683185496,39.28308475,school
142,2500 E. Northern Pkwy,-76.5785259,39.3677274,school
143,2801 St Lo Drive,-76.5853346822,39.3175965,school
144,201 North Bend Rd,-76.707661,39.2841272,school
145,2000 Edgewood St,-76.676202,39.3105339,school
146,2200 Sinclair Lane,-76.5870555,39.3146445,school
147,900 Druid Hill Avenue,-76.624401,39.298522,school
148,5609 Sefton Ave,-3.000088,53.4676501,school
149,2810 Shirley Ave,-0.0555742,51.3777561,school
150,128 W. Franklin St,-76.6180621,39.2951912,school
151,2500 E Northern Pkwy,-76.5785259,39.3677274,school
152,2000 Edgewood St,-76.676202,39.3105339,school
153,2801 N. Dukeland Street,-76.66519035,39.3217195881,school
154,2555 Harford Rd,-76.5991524,39.3126543,school
155,6820 Fait Ave,-76.5311671,39.2849009,school
156,1101 N Wolfe St.,-76.5909971,39.3036088,school
157,5502 York Road,114.177307,22.3345673,school
158,5001 Sinclair Lane,-76.5452864681,39.32063535,school
159,5609 Sefton Ave,-3.000088,53.4676501,school
160,201 North Bend Rd,-76.707661,39.2841272,school
161,900 Woodbourne Ave,-76.6015612,39.3548795,school
162,501 Athol Ave,138.5953196,-34.8702305,school
163,6900 Park Heights Avenue,-76.6868279,39.3543169,school
164,1400 W Cold Spring Lane,-76.6337529,39.344317,school
165,100 Kane Street,-72.500055597,42.1186745815,school
166,3701 Eldorado Avenue,-76.6893547,39.3428553,school
167,4600 Falls Road,-5.9631188,54.5918316,school
168,3500 Hillen Road,-76.588723,39.335654,school
169,2555 Harford Road,-76.5991524,39.3126543,school
170,1400 Orleans St,-94.021619,33.407989,school
171,712 Cathedral Street,-2.2437697,53.4848456,school
172,1100 Covington St.,-76.6070773,39.2755076,school
173,2201 Pinewood Avenue,-0.3590324,51.6119728,school
174,6401 Pioneer Drive,-71.5131429,42.724013,school
175,500 N. Caroline Street,-76.5982998,39.2962182,school
176,2700 Seamon Avenue,-76.6211652498,39.25287305,school
177,1601 E. Lombard Street,-76.6105239,39.287895,school
178,2801 Saint Lo Drive,-76.5853346822,39.3175965,school
179,1300 W. 36th Street,-76.6378171459,39.3309011,school
180,1500 Harlem Avenue,-76.6411688003,39.2974228,school
181,100 N. Calhoun Street,-76.6399710378,39.29021555,school
182,1500 Harlem Avenue,-76.6411688003,39.2974228,school
183,5001 Sinclair Lane,-76.5452864681,39.32063535,school
184,2500 W. North Avenue,-76.6587679,39.3095958,school
185,1301 McCulloh Street,-76.62781,39.302728,school
186,2801 N. Dukeland Street,-76.66519035,39.3217195881,school
187,2301 Gwynns Falls Parkway,-76.6551273924,39.31479805,school
188,2201 W Presstman Street,-76.6526885108,39.30445485,school
189,3220 The Alameda,-76.5967642,39.3256668,school
