cctv,lat,long
0,39.290996,-76.621074
1,39.2904879652,-76.6236651437
2,39.289324,-76.620985
3,39.288678,-76.620948
4,39.287528,-76.620854
5,39.285245,-76.620675
6,39.286257,-76.622129
7,39.287415,-76.623616
8,39.289222,-76.623695
9,39.290333,-76.623777
10,39.291377,-76.623837
11,39.29037,-76.622411
12,39.2896453564,-76.6241592367
13,39.286315,-76.619369
14,39.285302,-76.619283
15,39.286452,-76.616191
16,39.287668,-76.617692
17,39.289384,-76.61779
18,39.289386,-76.61948
19,39.290447,-76.61949
20,39.291602,-76.619664
21,39.291581,-76.61802
22,39.29167,-76.617084
23,39.290451,-76.617674
24,39.290501,-76.617985
25,39.2919824118,-76.6173258434
26,39.293019,-76.616777
27,39.294053,-76.616793
28,39.294151,-76.615489
29,39.295048,-76.616872
30,39.295011,-76.618324
31,39.294017,-76.618224
32,39.292954,-76.618158
33,39.292896,-76.619659
34,39.293987,-76.619773
35,39.2954463791,-76.6204455688
36,39.296209,-76.619917
37,39.29579,-76.621317
38,39.289278,-76.62233
39,39.29283,-76.621145
40,39.292822,-76.622539
41,39.293837,-76.622571
42,39.291428,-76.622441
43,39.294792,-76.623951
44,39.29284,-76.623895
45,39.29489,-76.62126
46,39.2966958652,-76.6212701797
47,39.293915,-76.621199
48,39.295792,-76.622656
49,39.2962994055,-76.6169571877
50,39.2913216738,-76.61647439
51,39.2887890807,-76.6162705421
52,39.289526,-76.615144
53,39.287744,-76.614863
54,39.29117,-76.613976
55,39.2888202196,-76.6137170792
56,39.290387,-76.612448
57,39.288933,-76.612025
58,39.287825,-76.612135
59,39.291245,-76.611114
60,39.289701,-76.611048
61,39.288566,-76.610961
62,39.292495,-76.610355
63,39.290498,-76.610276
64,39.287849,-76.610116
65,39.286662,-76.610022
66,39.2892104939,-76.6097554564
67,39.289772,-76.608945
68,39.288624,-76.608832
69,39.291377722,-76.6078296304
70,39.287904,-76.606944
71,39.291325,-76.624648
72,39.293779,-76.62393
73,39.2975053831,-76.6228714585
74,39.2958219904,-76.6250628233
75,39.297269,-76.621448
76,39.292327,-76.615414
77,39.2951095283,-76.6138708841
78,39.2906281813,-76.6144853573
79,39.293968,-76.594117
80,39.292632,-76.594029
81,39.291542,-76.593944
82,39.291616,-76.591777
83,39.291747,-76.589201
84,39.290399,-76.593869
85,39.290499,-76.59171
86,39.29052,-76.591047
87,39.290555,-76.589749
88,39.290573,-76.589106
89,39.289257,-76.593803
90,39.2891399125,-76.59571141
91,39.287623,-76.593704
92,39.287696,-76.592432
93,39.286609,-76.593638
94,39.286512,-76.59544
95,39.286468,-76.596843
96,39.285578,-76.593557
97,39.285686,-76.591406
